,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp,zh
LANGUAGE_NAME,,English,Français,Polski,pУcckий,Español,Italiano,ＧＡＬＡＣＴＩＣ ＡＬＰＨＡＢＥＴ,Filipino,Deutsch,Türkçe,Indonesia,Português Brasileiro,にほんご,简体中文
ACCENTS_USED,,n/a,é; è; ê; ç; à; î; ù; ï,ą; ę; ó; ś; ć; ń; ż; ź; ł,б; г; д; ё; ж; з; и; й; л; п; У; ф; ц; ч; ш; щ; ъ; ы; ь; э; ю; я,á; é; í; ó; ú,à; è; é; ì; ò; ,Ｎ/Ａ,n/a,"ä, ü, ö","ç, ş, ğ, ı, İ, ö, ü",n/a,"ç, á, é, í, ó, ú, à, â, ê, î, ô, ã, õ","に,ほ,ん,ご,あ,そ,ぶ,オ,プ,シ,ョ,ン,や,め,る,免,責,事,項,は,非,営,利,の,フ,ァ,ゲ,ー,ム,で,り,、,絶,対,販,売,し,て,な,ま,せ,。,リ,ジ,ナ,ル,公,式,代,替,品,と,機,能,す,も,を,通,じ,遊,こ,が,き,開,発,元,お,よ,び,関,連,べ,団,体,（,任,天,度,）,提,携,た,承,認,受,け,い,表,示,さ,れ,ソ,ス,正,用,目,的,変,形,適,熱,心,っ,作,成,へ,愛,情,ふ,ω,！,え,ら,マ,ペ,ャ,イ,ト,ニ,ッ,ポ,カ,タ,テ,モ,ド,チ,レ,ラ,く,つ,づ,か,ワ,ク,エ,キ,ノ,ピ,コ,メ,ュ,サ,ゅ,う,げ,ぞ,デ,ィ,グ,ど,ボ,ロ,パ,ウ,ブ,ケ,ダ,セ,ズ,ひ,ば,ち,む,　,ょ,ア,ェ,・,ず,ゴ,バ,ザ,ぎ,わ,ォ,：,ゾ,だ,み,ろ,ぼ,ツ,ね,ミ,「,」,ヤ,ざ,ゆ,ヒ,ヨ,ぜ,ぬ,ハ,ガ,ぷ,ネ,ベ,ビ,～",·;…;。;《;》;「;」;一;万;上;下;不;与;世;丛;丝;个;中;丸;为;主;久;么;义;之;乐;习;书;了;事;二;云;交;亦;享;人;仅;从;仙;代;以;们;件;价;任;伙;会;传;伤;伴;伸;但;位;住;体;何;余;作;你;佳;使;便;保;修;停;偶;像;允;兄;免;全;公;共;关;兵;其;具;典;内;冒;农;冠;冰;出;击;分;切;列;则;创;删;利;别;到;制;刷;刹;刺;前;剩;力;功;加;务;动;励;勃;包;化;匙;区;升;半;卓;单;卡;即;厉;原;及;友;反;发;受;变;口;句;另;只;可;台;右;号;合;吉;吊;同;后;向;吞;吧;启;告;员;周;命;和;咚;售;唯;喷;器;回;园;固;国;图;圈;在;地;场;均;块;坡;垂;型;城;域;基;堂;堡;墙;士;声;处;复;外;多;夜;大;天;太;失;头;夹;奇;奖;奥;如;姆;始;姬;子;字;季;宇;完;官;宙;定;宝;实;客;害;宵;家;容;宽;对;寻;导;封;射;将;小;尔;尖;就;尽;层;居;屋;屏;山;岁;岩;巢;工;左;差;已;巴;币;帜;带;干;平;并;幸;幻;幽;广;床;序;应;底;度;座;建;开;式;引;弟;弹;强;当;形;彩;影;役;征;很;得;心;态;性;情;想;意;感;慢;戏;成;我;或;战;房;所;扇;手;打;扳;找;投;拉;招;择;拯;持;按;挑;挥;换;据;掉;掌;排;推;掷;操;擎;收;放;故;效;敌;敏;救;数;整;文;斗;斜;斧;新;方;旅;旋;旗;无;日;时;明;易;星;是;晚;景;暂;更;替;最;月;有;服;期;木;未;本;朵;机;杆;束;条;来;松;板;林;果;柄;染;查;柱;柿;标;树;栗;格;框;桥;桶;梁;梦;检;棒;模;横;次;欢;欧;款;歉;止;正;此;步;段;每;毒;比;水;永;沙;没;法;泡;活;派;浆;测;浏;海;消;液;深;添;渲;游;源;滑;滚;滩;演;漠;漫;激;火;灵;炮;炸;点;烦;热;焰;燃;版;牌;物;特;状;狩;猎;献;王;玩;现;珂;球;理;甜;生;用;由;画;界;白;的;盔;盖;盘;目;直;相;真;短;砖;确;碎;碧;碰;神;禁;秋;秒;移;程;空;窗;竞;端;符;第;签;简;管;簧;粉;粒;糕;糟;素;索;红;级;练;细;终;经;结;给;绝;继;绩;续;绳;绿;缓;编;缩;置;美;羞;翅;者;而;职;联;背;膀;自;至;致;艇;色;花;若;英;荐;莫;获;菇;菜;营;落;蓝;藏;蘑;虹;蜂;蝇;蟹;行;表;装;要;见;视;览;觉;角;解;言;警;计;认;让;许;设;评;试;详;语;误;诺;调;谊;谢;象;责;败;贩;资;赛;赠;走;超;越;跃;跑;距;路;跳;蹦;身;车;轨;转;载;辆;辑;边;过;迎;运;返;这;进;退;送;选;途;通;速;道;那;邦;部;都;酷;里;重;量;金;钟;钢;钥;钮;铜;银;铺;锁;锐;错;锤;键;长;门;闭;问;间;阱;阴;降;限;陡;除;险;陷;隐;难;雄;集;雪;需;霸;非;面;音;页;顶;顺;预;领;频;题;额;风;飞;食;饰;马;验;骑;高;鬼;鱼;鱿;黄;黑;鼠;鼹;龟;！;（;）;，;：;？;
TRANSLATOR(S),,JoeMama (me!),Makerk6,Cube,SlavaWOW,Speedymcfly,TRIPPE,ＪＯＥＭＡＭＡ (ＭＥ!),VannyArts,TheOliveOli,_Apostrophe,TBB,Chryss The Crystalball,EdwrinLb (Skopler),ruusuge
MENU_PLAY_GAME,,Play Game,Commencer,Zacznij Grę,Игpatь,Jugar,Gioca,ＰＬＡＹ ＧＡＭＥ,Maglaro,Starten,Başla,Mainkan Game,Jogar,あそぶ,开始游戏
MENU_SETTINGS,,Settings,Paramètres,Ustawienia,hactpoйkи,Configuración,Opzioni,ＳＥＴＴＩＮＧＳ,Opsyon,Einstellungen,Ayarlar,Pengaturan,Configurações,オプション,设置
MENU_QUIT_GAME,,Quit Game,Quitter,Wyjdź z Gry,bыйtи,Salir del Juego,Esci,ＱＵＩＴ ＧＡＭＥ,Umalis,Beenden,Oyundan Çık,Keluar Game,Sair,やめる,退出游戏
TITLE_DISCLAIMER,,Disclaimer,Clause de non-responsabilité,Ostrzeżenie,Диckлeйmep,Aviso,Avviso,ＤＩＳＣＬＡＩＭＥＲ,Pahintulot,Hinweis,Sorumluluk Reddİ,Peringatan,Aviso,免責事項,免责声明
TITLE_DISCLAIM_1,dont sue ,"Super Mario Bros Remastered is a not-for-profit fangame, and should never ever be sold.

It does not serve as a substitute to playing any of the original games.

Super Mario Bros 1 and 2, can be played now on Nintendo Switch through Nintendo Switch Online.","""Super Mario Bros. Remastered"" est un jeu conçu par un fan, a un caractère non lucratif et ne devrait en aucun cas être revendu.

Il n'est pas destiné à remplacer les jeux originaux.

Super Mario Bros. 1 et 2, sont jouables sur Nintendo Switch via le Nintendo Switch Online","Super Mario Bros. Remastered jest bezprofitową grą fanową and nigdy nie powinna być sprzedawana.

Nie ma w celu zastąpić oryginalne gry.

Super Mario Bros. 1 oraz 2 można zagrać teraz na Nintendo Switch przez Nintendo Switch Online.","Super Mario Bros. Remastered - hekommepчeckaя фah-игpa, kotopaя hиkoгдa he дoлжha пpoдabatьcя. 

oha he cлУжиt aльtephatиboй hи oдhoй из kлaccичeckиx игp.

b Super Mario Bros 1 и 2, moжho cыгpatь ha Nintendo Switch чepeз Nintendo Switch Online.","Super Mario Bros Remastered es un fangame sin ánimo de lucro, y nunca jamás debería ponerse a la venta.

No sirve como un sustituto para jugar los juegos originales.

Super Mario Bros 1 y The Lost Levels ya se pueden jugar en Nintendo Switch a través de Nintendo Switch Online.","Super Mario Bros. Remastered è un fangame realizzato senza scopo di lucro, e non dovrebbe mai essere venduto.

Il suo scopo non è quello di sostituire nessuno dei giochi originali.

Super Mario Bros 1 e 2, possono essere giocati ora su Nintendo Switch tramite Nintendo Switch Online.","ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ ＲＥＭＡＳＴＥＲＥＤ ＩＳ Ａ ＮＯＴ-ＦＯＲ-ＰＲＯＦＩＴ ＦＡＮＧＡＭＥ, ＡＮＤ ＳＨＯＵＬＤ ＮＥＶＥＲ ＥＶＥＲ ＢＥ ＳＯＬＤ.

ＩＴ ＤＯＥＳ ＮＯＴ ＳＥＲＶＥ ＡＳ Ａ ＳＵＢＳＴＩＴＵＴＥ ＴＯ ＰＬＡＹＩＮＧ ＡＮＹ ＯＦ ＴＨＥ ＯＲＩＧＩＮＡＬ ＧＡＭＥＳ.

ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ 1 ＡＮＤ 2, ＣＡＮ ＢＥ ＰＬＡＹＥＤ ＮＯＷ ＯＮ ＮＩＮＴＥＮＤＯ ＳＷＩＴＣＨ ＴＨＲＯＵＧＨ ＮＩＮＴＥＮＤＯ ＳＷＩＴＣＨ ＯＮＬＩＮＥ.","Ang Super Mario Bros Remastered ay isang not-for-profit fangame, at hindi dapat pagkakitaan.

Hindi ito pamalit sa anumang original games na gawa ng Nintendo.

Ang Super Mario Bros 1 at sequel nito ay pwedeng laruing sa Nintendo Switch through Nintendo Switch Online.","Super Mario Bros. Remastered ist ein Nicht-Profit-Fangame, es soll nicht weiterverkauft werden.

Das Spiel dient nicht als Ersatz für die Originalspiele.

Super Mario Bros. 1 und 2 sind über Nintendo Switch Online spielbar.","Super Marİo Bros Remastered kar amacı olmayan bİr fangame'dİr ve asla satılmamalıdır.

Orİjİnal oyunlardan herhangİ bİrİnİ oynamanın yerİne geçmez.

Super Marİo Bros 1 ve 2, Nİntendo Swİtch Onlİne aracılığıyla şİmdİ Nİntendo Swİtch'te oynanabİlİr.","Super Mario Bros Remastered adalah fangame yang tidak dijual dan tidak akan dijual.
 
Remastered ini tidak dapat menggantikan game aslinya.

Super Mario Bros 1 dan 2 bisa dimainkan di Nintendo Switch melalui Nintendo Switch Online.","Super Mario Bros Remastered é uma fangame não-paga, e nunca deve ser vendida","Super Mario Bros. Remasteredは非営利のファンゲームであり、絶対に販売してはなりません。

オリジナルの公式ゲームの代替品として機能するものではありません。

Nintendo Switch Onlineを通じて、Nintendo SwitchでSuper Mario Bros. 1とSuper Mario Bros. 2を遊ぶことができます。","《超级马力欧兄弟 重制版》是一款非营利同人游戏，绝对不得贩售。

本游戏不替代任何官方原作。

《超级马力欧兄弟》及《失落的关卡》现可通过 Nintendo Switch Online 在 Nintendo Switch 上游玩。"
TITLE_DISCLAIM_2,"please, DO NOT SUE","Super Mario Bros Remastered. Its developer, and all related entities are not affiliated with or endorsed by Nintendo. Resources which appear in this game are used for the purpose of fair use, with transformative applications being applied.

This game merely serves as a love letter to the original game, made by a passionate fan :)","Le développeur de ""Super Mario Bros. Remastered"" et toutes les entités connexes ne sont pas affiliés ou approuvés par Nintendo. Les ressources qui apparaissent dans ce jeu sont utilisées à des fins d’utilisation équitable, avec des applications transformatrices.

Ce jeu sert simplement de lettre d’amour au jeu original, faite par un fan passionné :)","Super Mario Bros. Remastered, jego twórca oraz wszystkie powiązane podmioty nie są powiązani ani wspierani przez Nintendo. Zasoby używane w grze są wykorzystywane w celach niekomercyjnych, z wprowadzonymi transformacyjnymi zmianami.

Ta gra ma jedynie służyć jako list miłosny do oryginalnej gry, stworzony przez pasjonującego się fana :)","paзpaбotчиk Super Mario Bros Remastered. и cbязahhыe c hиm opгahизaции he иmeюt hиkakoгo othoшehия c Nintendo. pecУpcы b игpe иcпoльзУюtcя b kaчectbe ""дoбpocobecthoгo иcпoльзobahия"" c пpиmehehиem texhoлoгий пpeoбpaзobahия.


Эta игpa пpocto cлУжиt любobhыm пиcьmom k opигиhaльhoй игpe, cдeлahhыm ctpacthыm фahatom :)","Super Mario Bros Remastered. Su desarrollador y todas las entidades relacionadas no están afiliadas ni respaldadas por Nintendo. Los recursos que aparecen en este juego se utilizan para el uso libre (Fair Use), aplicándose aplicaciones transformativas.

Este juego sirve meramente como una carta de amor al juego original, hecho por un fan apasionado :)","Super Mario Bros. Remastered, il suo sviluppatore, e tutte le entità associate NON sono affiliate a Nintendo. Le risorse presenti nel gioco sono state utilizzate nel rispetto del fair use.

Questo gioco serve semplicemente come una lettera d'amore al gioco originale, fatta da un fan appassioanto :)","ＳＵＰＥＲ ＭＡＲＩＯ ＢＲＯＳ ＲＥＭＡＳＴＥＲＥＤ. ＩＴＳ ＤＥＶＥＬＯＰＥＲ, ＡＮＤ ＡＬＬ ＲＥＬＡＴＥＤ ＥＮＴＩＴＩＥＳ ＡＲＥ ＮＯＴ ＡＦＦＩＬＩＡＴＥＤ ＷＩＴＨ ＯＲ ＥＮＤＯＲＳＥＤ ＢＹ ＮＩＮＴＥＮＤＯ. ＲＥＳＯＵＲＣＥＳ ＷＨＩＣＨ ＡＰＰＥＡＲ ＩＮ ＴＨＩＳ ＧＡＭＥ ＡＲＥ ＵＳＥＤ ＦＯＲ ＴＨＥ ＰＵＲＰＯＳＥ ＯＦ ＦＡＩＲ ＵＳＥ, ＷＩＴＨ ＴＲＡＮＳＦＯＲＭＡＴＩＶＥ ＡＰＰＬＩＣＡＴＩＯＮＳ ＢＥＩＮＧ ＡＰＰＬＩＥＤ.

ＴＨＩＳ ＧＡＭＥ ＭＥＲＥＬＹ ＳＥＲＶＥＳ ＡＳ Ａ ＬＯＶＥ ＬＥＴＴＥＲ ＴＯ ＴＨＥ ＯＲＩＧＩＮＡＬ ＧＡＭＥ, ＭＡＤＥ ＢＹ Ａ ＰＡＳＳＩＯＮＡＴＥ ＦＡＮ :)","Ang Super Mario Bros Remastered. Ang developer nito, at ang lahat ng tumulong dito ay hindi affiliated with or endorsed ng Nintendo. Ang mga resources na ginamit sa game na ito ay for the purpose of fair use, at dinagdagan ng transformative applications.

Ginawa ang game na to as love letter sa original game ng isang passionate fan :)","Super Mario Bros. Remastered, der Entwickler, und alle weiteren Beteiligten haben keinerlei Verbindung zu Nintendo. Die Benutzung der in diesem Spiel vorkommenden Ressourcen gilt als faire Nutzung (Fair Use) und falls nötig, wird mit Veränderungen angewendet.

Dieses Spiel dient als Liebesbrief für das Original, von einem begeisterten Fan :)","Super Marİo Bros Remastered. Gelİştİrİcİsİ ve İlgİlİ tüm kuruluşlar Nİntendo'ya bağlı değİldİr veya Nİntendo tarafından desteklenmemektedİr. Bu oyunda görünen kaynaklar, dönüştürücü uygulamalar uygulanarak adİl kullanım amacıyla kullanılmıştır.

Bu oyun sadece Nİntendo tarafından yapılan orİjİnal oyuna bİr teşekkür mektubu olarak hİzmet vermektedİr :)","Super Mario Bros Remastered. Pengembangnya, dan semua entitas terkait, tidak berafiliasi atau didukung oleh Nintendo. Sumber daya yang muncul dalam game ini digunakan untuk tujuan penggunaan wajar, dengan aplikasi transformatif yang diterapkan.

Game ini hanyalah sebuah surat cinta untuk game aslinya, yang dibuat oleh seorang penggemar berat :)","Super Mario Bros Remastered. Seu criador, e todas suas entidades não são afiliadas ou endossadas com a Nintendo. Recursos nos quais aparecem nesse jogo são usados para o propósito de serem usados justamente, com aplicações transformadoras sendo aplicadas.","Super Mario Bros. Remastered、このゲームの開発元および関連するすべての団体は、Nintendo（任天度）と提携または承認を受けていません。このゲームに表示されるリソースは、公正な利用の目的で、変形的な利用が適用されています。

このゲームは、熱心なファンによって作成された、オリジナルゲームへの愛情あふれる作品です。(^ω^)","《超级马力欧兄弟 重制版》的开发者和所有相关实体与任天堂无任何关联，亦未获得其认可。游戏中出现的资源均以合理使用为目的，并进行了转化性应用。

本游戏仅是由热情粉丝献给原作的一封情书 :)"
TITLE_DISCLAIM_3,,Enjoy!,Profitez bien !,Miłej gry!,hacлaждaйtecь!,Disfrute!,Buon divertimento!,ＥＮＪＯＹ!,Enjoy!,Viel Spass!,Keyfİnİ Çıkar!,Selamat Menikmati!,Aproveite!,たのしんで！,尽情享受吧！
